ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score
2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0,0.07391316419280271
2024.0,160.0,inmarsat,2.0,lcd,2.9,2.0,10.16,318.0,240.0,320.0,160.0,0.8,199.99,933.0,3.1008121599954217
2015.0,128.0,ttfone,2.0,lcd,0.0,4.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99,41.99,-0.8192420176936648
2015.0,128.0,doro,2.0,lcd,1.2,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67,-0.7898529402344185
1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0,3.7695456590680934
2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0,-0.21645796040454157
2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0,-0.18566102294724748
2016.0,256.0,huawei,5.2,ips,2.0,3.0,0.75,147.0,1080.0,1920.0,3000.0,566.25,448.96,448.96,0.9712479304484744
2017.0,128.0,nokia,1.8,lcd,0.9,16.0,1.28,60.0,1080.0,2400.0,1200.0,2697.948717948718,35.62,32.34,-0.8616977957597917
2019.0,64.0,hipipooo,2.5,oled,0.8,2.0,2.0,18.0,800.0,480.0,800.0,306.4102564102564,27.0,27.0,-0.8851914594772132
2019.0,64.0,artfone,1.8,lcd,0.8,32.0,1.39,180.0,1080.0,2400.0,1400.0,1202.6190476190477,28.99,28.99,-0.8764363301143538
2018.0,64.0,nokia,1.8,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.98,22.99,-0.9028337050777487
2024.0,64.0,ukuu,1.8,lcd,0.9,32.0,2.57,254.42,240.0,320.0,800.0,1082.8947368421052,29.99,29.99,-0.8720367676204547
2018.0,64.0,samsung,5.8,amoled,34.5,4.0,8.51,199.58,2960.0,1440.0,3000.0,25.897435897435894,1299.0,84.89,-0.630500786705391
2024.0,64.0,iniu,1.8,lcd,0.0,32.0,1.27,198.0,1080.0,2400.0,800.0,13566.956521739132,26.99,17.99,-0.9248315175472446
2019.0,128.0,samsung,6.2,lcd,24.2,2.0,10.0,166.0,1080.0,2400.0,3400.0,4.871794871794872,549.0,96.89,-0.5777060367786011
2024.0,64.0,panasonic,1.8,lcd,0.8,32.0,6.3,82.0,1080.0,2400.0,3600.0,312.10526315789474,29.9,28.99,-0.8764363301143538
2019.0,512.0,ttfone,2.8,lcd,25.8,4.0,2.0,128.0,1080.0,2400.0,1400.0,263.3333333333333,109.99,94.55,-0.5880010130143253
2024.0,64.0,apple,6.1,lcd,3.0,12.0,6.3,188.0,1080.0,2400.0,3.0,474.72222222222223,1299.0,205.99,-0.09771376869420331
2019.0,256.0,samsung,6.3,amoled,3.1,8.0,20.0,170.0,1440.0,3040.0,3500.0,13.23529411764706,199.99,215.0,-0.05807371062417196
2024.0,64.0,oakcastle,1.77,lcd,0.0,32.0,1.2,70.0,1080.0,2400.0,600.0,1534.1666666666667,199.99,19.95,-0.9162083750592023
2024.0,128.0,sveon,2.4,lcd,0.9,12.0,2.57,254.42,3840.0,2160.0,800.0,4.4,199.99,33.5,-0.8565943032668687
2024.0,128.0,xiaomi,6.67,lcd,2.2,6.0,9.0,215.0,3840.0,2160.0,4820.0,1627.4999999999998,329.0,240.17,0.05266327734726973
2012.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0,0.07391316419280271
2024.0,256.0,apple,6.1,oled,2.4,8.0,2.82,190.0,1080.0,2400.0,4.0,3198.285714285714,499.99,319.0,0.3994807887413402
2024.0,256.0,apple,6.1,oled,2.4,8.0,2.82,300.0,2532.0,1170.0,4.0,3198.285714285714,317.99,317.99,0.3950372306225021
2025.0,512.0,doogee,6.72,lcd,2.5,32.0,1.6,364.0,1080.0,2280.0,10100.0,16.382978723404253,469.99,369.99,0.6238144803052582
2023.0,64.0,ttfone,1.8,lcd,0.0,32.0,0.9,180.0,128.0,160.0,800.0,6.666666666666667,199.99,21.99,-0.9072332675716479
2024.0,512.0,doogee,6.78,lcd,2.5,32.0,1.58,383.0,2460.0,1080.0,8680.0,5.333333333333333,569.99,399.99,0.7558013551222329
2024.0,512.0,cubot,6.58,lcd,2.6,32.0,2.57,254.42,2408.0,1080.0,10200.0,18.666666666666668,199.99,389.99,0.7118057301832413
2024.0,64.0,energizer,1.57,lcd,0.0,1.0,1.4,170.0,1280.0,720.0,1000.0,314.1463414634147,199.99,19.99,-0.9160323925594462
2025.0,256.0,oukitel,6.56,ips,2.0,24.0,1.53,680.0,720.0,1600.0,11000.0,16.444444444444443,259.99,249.99,0.09586698103735954
2024.0,64.0,fossibot,6.74,lcd,2000.0,12.0,2.57,254.42,1080.0,2400.0,10300.0,39.285714285714285,139.99,109.99,-0.5200717681085223
2025.0,512.0,doogee,6.78,lcd,2.6,36.0,1.63,383.0,1080.0,2160.0,8680.0,7.659574468085106,639.99,499.99,1.1957576045121485
2024.0,128.0,oukitel,6.52,lcd,1.6,127.0,0.9,460.0,1080.0,1920.0,4300.0,66.59090909090908,99.99,79.99,-0.652058642925497
2024.0,128.0,xiaomi,6.43,lcd,2.4,4.0,0.81,179.5,1920.0,1080.0,5000.0,3821.590909090909,499.99,188.75,-0.1735622260890248
2024.0,128.0,zte,6.56,lcd,22.5,4.0,11.42,500.0,720.0,1600.0,5000.0,4.634146341463415,1.22,98.68,-0.5698308199145217
2024.0,128.0,panasonic,5.0,lcd,1.2,1.0,60.0,290.0,400.0,240.0,1.0,29.72972972972973,569.99,52.7,-0.7721227033840048
2024.0,256.0,asus,5.9,amoled,3.2,8.0,28.0,172.0,2400.0,1080.0,4300.0,48.44444444444444,699.99,599.0,1.6313582870331038
2022.0,128.0,xiaomi,0.39,lcd,15.8,6.0,5.0,400.0,1334.0,720.0,5000.0,1.5789473684210529,152.65,131.45,-0.42565715698944645
2024.0,256.0,oppo,6.7,amoled,2.4,8.0,0.77,500.0,2400.0,1080.0,5000.0,17.619047619047617,1579.0,1579.0,5.942929531054276
2024.0,256.0,xiaomi,6.43,lcd,12.3,6.0,60.0,179.0,1080.0,2340.0,5000.0,3821.590909090909,156.99,156.99,-0.31329233089526193
2019.0,256.0,apple,6.7,oled,2.9,12.0,0.05,436.0,1080.0,2400.0,16.0,17.77777777777778,549.0,685.0,2.0097206615084313
2013.0,256.0,doogee,6.58,lcd,2.0,12.0,5.7,390.0,1080.0,2408.0,10800.0,14.5,209.99,199.49,-0.12631092490454782
2024.0,128.0,xiaomi,6.88,lcd,60.0,4.0,2.57,254.42,2340.0,1080.0,5160.0,52.38095238095238,179.9,118.89,-0.4809156619128198
2024.0,512.0,8849,6.79,lcd,3.1,32.0,3.1,696.0,1080.0,2246.0,23800.0,25.27777777777778,199.99,749.99,2.2956482279869372
2024.0,256.0,google,6.7,amoled,3.1,12.0,0.85,210.0,2560.0,1440.0,5060.0,101.6279069767442,1299.0,1079.0,3.7431482841046986
2024.0,128.0,oukitel,6.52,lcd,1.6,127.0,0.9,460.0,1520.0,720.0,4300.0,66.59090909090908,99.99,79.99,-0.652058642925497
2024.0,512.0,8849pro,6.79,lcd,3.0,18.0,2.57,254.42,1920.0,1080.0,23800.0,1.0416666666666667,199.99,859.99,2.7796001023158445
2024.0,256.0,samsung,6.3,amoled,2.9,12.0,2.57,254.42,1440.0,3200.0,4000.0,1.2,969.0,969.0,3.2591964097757913
2024.0,512.0,asus,6.78,amoled,3.2,16.0,0.91,225.0,2400.0,1080.0,5500.0,28.5,1229.99,976.6,3.292633084729425
2024.0,128.0,xiaomi,6.88,lcd,60.0,4.0,2.57,254.42,2340.0,1080.0,5000.0,12.666666666666666,121.96,85.81,-0.6264531892110039
2013.0,256.0,doogee,6.52,lcd,32.3,20.0,0.91,430.0,1280.0,720.0,4200.0,15.172413793103448,89.99,89.99,-0.6080630179865055
2024.0,256.0,oppo,6.7,amoled,3.0,16.0,2.57,254.42,1536.0,720.0,5910.0,22.32558139534884,1249.0,1249.0,4.491073908067555
2025.0,256.0,nubia,6.85,amoled,4.3,12.0,0.86,228.0,2688.0,1216.0,6150.0,3.142857142857143,879.0,879.0,2.8632357853248673
2024.0,256.0,samsung,6.7,amoled,3.0,12.0,3.0,340.0,3808.0,2160.0,5000.0,128.86363636363637,1459.0,884.99,2.8895891646633234
2024.0,512.0,8849,6.79,lcd,2.6,12.0,2.57,254.42,1080.0,2400.0,23800.0,1.5909090909090908,559.99,559.99,1.459731354146098
2024.0,64.0,azuiqimeng,1.8,lcd,0.9,32.0,2.57,254.42,128.0,160.0,800.0,7.36842105263158,29.99,29.99,-0.8720367676204547
2024.0,512.0,oneplus,6.82,amoled,3.2,16.0,6.1,500.0,1080.0,2400.0,5000.0,75.77777777777777,1099.0,853.28,2.750079037981781
2024.0,256.0,blackview,6.56,amoled,34.5,16.0,2.57,254.42,1600.0,720.0,18.0,64.14634146341464,199.99,84.99,-0.6300608304560013
2024.0,128.0,spc,5.0,lcd,1.2,32.0,1.9,108.0,320.0,240.0,800.0,15.5,48.99,48.99,-0.7884450802363707
2018.0,128.0,oneplus,6.7,lcd,2.8,8.0,0.87,197.0,3168.0,1440.0,4500.0,1019.7674418604652,860.81,860.81,2.7832077435608413
2024.0,64.0,volfen,2.8,led,1.3,32.0,8.21,368.0,320.0,240.0,800.0,0.8888888888888888,29.99,29.99,-0.8720367676204547
2024.0,256.0,samsung,6.7,lcd,2.6,12.0,2.57,254.42,3840.0,2160.0,5000.0,167.5,549.0,1459.0,5.414982031786377
2024.0,128.0,oukitel,2.36,lcd,1.6,12.0,1.54,600.0,720.0,1440.0,6300.0,279.5238095238095,145.99,118.99,-0.4804757056634299
2023.0,1000.0,cubot,6.58,lcd,2.2,24.0,1.77,390.0,1920.0,1080.0,10600.0,85.5,199.99,229.99,0.00787573115937642
2024.0,128.0,nokia,2.4,lcd,17.8,32.0,1.1,87.0,320.0,240.0,5000.0,1.0638297872340423,199.99,110.33,-0.5185759168605966
2024.0,128.0,oneplus,0.39,lcd,2.2,8.0,28.0,195.0,1080.0,2400.0,5000.0,145.11111111111111,9.0,189.0,-0.17246233546555
2024.0,128.0,tcl,2.4,lcd,32.3,4.0,28.0,143.0,1080.0,2400.0,5000.0,3.513513513513513,89.99,89.99,-0.6080630179865055
2024.0,1024.0,samsung,6.7,lcd,3.0,12.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,1819.0,1819.0,6.998824529590073
2024.0,128.0,xiaomi,6.67,amoled,2.4,6.0,28.0,500.0,1080.0,2400.0,5000.0,379.58333333333337,256.23,245.0,0.07391316419280271
2024.0,800.0,spc,1.8,led,0.0,32.0,1.4,74.0,1080.0,2400.0,800.0,64.61538461538461,21.9,18.98,-0.9204759506782845
2024.0,512.0,doogee,6.78,lcd,2.6,36.0,1.63,383.0,1080.0,2160.0,8680.0,7.659574468085106,199.99,499.99,1.1957576045121485
2024.0,128.0,qubo,2.4,lcd,1.2,32.0,2.57,254.42,240.0,320.0,3000.0,135.609756097561,499.99,50.0,-0.7840015221175326
2018.0,128.0,mtgud,5.0,lcd,1.3,1.0,2.57,254.42,480.0,854.0,3000.0,17.575757575757578,549.0,59.34,-0.7429096084245145
2022.0,128.0,zokoe,2.5,lcd,1.2,8.0,1.11,54.0,240.0,400.0,3000.0,74.375,59.99,49.99,-0.7840455177424716
2023.0,256.0,ulefone,6.78,lcd,2.2,24.0,2.57,254.42,1920.0,1080.0,22000.0,49.30232558139535,369.99,295.99,0.29824685575672066
2025.0,256.0,oukitel,6.56,ips,2.0,24.0,1.53,670.0,720.0,1600.0,11000.0,16.444444444444443,259.99,249.99,0.09586698103735954
2024.0,64.0,motorola,6.5,lcd,21.8,2.0,28.0,179.0,1600.0,720.0,5000.0,102.25,119.0,99.99,-0.564067393047514
2024.0,256.0,zte,6.56,lcd,17.5,6.0,5.5,550.0,1280.0,720.0,5000.0,0.6,1299.0,111.86,-0.5118445862449309
2024.0,512.0,asus,6.78,lcd,4.3,16.0,0.89,228.0,2400.0,1080.0,5800.0,1.3043478260869563,1299.99,1299.99,4.715407599631472
2024.0,256.0,samsung,6.7,lcd,2.6,12.0,2.57,254.42,1080.0,2400.0,5000.0,5.121951219512195,1459.0,1459.0,5.414982031786377
2024.0,128.0,xiaomi,6.43,amoled,2.0,6.0,0.81,179.0,3840.0,2160.0,5000.0,3821.590909090909,128.69,128.69,-0.4377999494726081
2024.0,512.0,samsung,6.7,amoled,3.0,12.0,2.57,254.42,1080.0,2400.0,4000.0,8.666666666666666,1329.0,1149.0,4.051117658677639
2024.0,512.0,samsung,6.7,lcd,3.0,12.0,2.57,254.42,1080.0,2400.0,5000.0,5.121951219512195,1579.0,1579.0,5.942929531054276
2024.0,512.0,samsung,6.7,lcd,3.0,12.0,2.57,254.42,2340.0,1080.0,5000.0,167.5,1579.0,1579.0,5.942929531054276
2024.0,64.0,icreation,1.77,lcd,0.0,32.0,1.39,73.0,160.0,128.0,800.0,18.857142857142858,549.0,19.9,-0.9164283531838971
2024.0,512.0,doogee,6.58,lcd,2.2,32.0,0.18,790.0,1080.0,2400.0,22000.0,4.489795918367347,589.99,469.98,1.0637267340702348
2024.0,512.0,oneplus,6.82,amoled,3.2,16.0,6.1,500.0,2560.0,1440.0,5000.0,75.77777777777777,1099.0,899.0,2.9512270352028507
2024.0,128.0,xiaomi,6.88,lcd,120.0,4.0,2.57,254.42,2340.0,1080.0,5160.0,16.136363636363637,139.0,106.99,-0.5332704555902198
2024.0,64.0,cocomm,1.8,lcd,0.0,32.0,8.1,180.0,1080.0,2400.0,800.0,4.35897435897436,54.98,21.24,-0.9105329394420723
2024.0,256.0,oukitel,6.6,lcd,2.5,24.0,2.72,970.0,1920.0,1080.0,22000.0,24.444444444444443,199.99,399.99,0.7558013551222329
2024.0,256.0,spc,1.77,lcd,1.0,32.0,2.57,254.42,128.0,160.0,1150.0,0.6,34.9,34.9,-0.8504349157754099
2024.0,128.0,xiaomi,6.43,amoled,2.0,6.0,0.81,179.0,1920.0,1080.0,5000.0,3821.8181818181815,165.39,127.0,-0.44523521008729766
